code,gender,name,country,disciplines
1959822,Female,STEVENS Jessica,United States,['Trampoline Gymnastics']
1959823,Male,MALONE Brody,United States,['Artistic Gymnastics']
1959825,Female,CHILES Jordan,United States,['Artistic Gymnastics']
1959855,Male,JUDA Paul,United States,['Artistic Gymnastics']
1959861,Female,BILES Simone,United States,['Artistic Gymnastics']
1959865,Male,NEDOROSCIK Stephen,United States,['Artistic Gymnastics']
1959866,Female,LEE Sunisa,United States,['Artistic Gymnastics']
1959947,Female,ABELLEIRA Teresa,Spain,['Football']
1959949,Female,ALEIXANDRI Laia,Spain,['Football']
1959961,Female,BATLLE Ona,Spain,['Football']
1959965,Female,BONMATI Aitana,Spain,['Football']
1959967,Female,CALDENTEY Mariona,Spain,['Football']
1959973,Female,CARMONA Olga,Spain,['Football']
1959975,Female,CODINA Laia,Spain,['Football']
1959976,Female,COLL Cata,Spain,['Football']
1959980,Female,del CASTILLO Athenea,Spain,['Football']
1959997,Female,GARCIA Lucia,Spain,['Football']
1960005,Female,GUIJARRO Patri,Spain,['Football']
1960006,Female,HERMOSO Jennifer,Spain,['Football']
1960008,Female,HERNANDEZ Oihane,Spain,['Football']
1960015,Female,LETE Elene,Spain,['Football']
1960019,Female,LOPEZ Vicky,Spain,['Football']
1960030,Female,MENDEZ Maria,Spain,['Football']
1960038,Female,NAVARRO Eva,Spain,['Football']
1960046,Female,PARALLUELO Salma,Spain,['Football']
1960048,Female,PAREDES Irene,Spain,['Football']
1960058,Female,PUTELLAS Alexia,Spain,['Football']
1960064,Female,REDONDO Alba,Spain,['Football']
1960065,Female,RODRIGUEZ Misa,Spain,['Football']
1960111,Male,NORWOOD Vernon,United States,['Athletics']
1960115,Female,HOBBS Aleia,United States,['Athletics']
1960118,Male,NUR Abdihamid,United States,['Athletics']
1960125,Male,COLEMAN Christian,United States,['Athletics']
1960137,Female,HILTZ Nikki,United States,['Athletics']
1960143,Female,MACKAY Emily,United States,['Athletics']
1960145,Female,ST. PIERRE Elle,United States,['Athletics']
1960146,Male,CRITTENDEN Freddie,United States,['Athletics']
1960149,Male,BALDWIN Heath,United States,['Athletics']
1960155,Male,LAWSON Jarrion,United States,['Athletics']
1960161,Female,SCHWEIZER Karissa,United States,['Athletics']
1960162,Female,IRBY-JACKSON Lynna,United States,['Athletics']
1960169,Female,RUSSELL Masai,United States,['Athletics']
1960173,Male,LYLES Noah,United States,['Athletics']
1960177,Male,HALL Quincy,United States,['Athletics']
1960178,Male,KENDRICKS Sam,United States,['Athletics']
1960179,Female,LITTLE Shamier,United States,['Athletics']
1960181,Female,RICHARDSON Sha'carri,United States,['Athletics']
1960187,Male,KINCAID William,United States,['Athletics']
1960213,Male,MONTANO ARROYO Andres Roberto,Ecuador,['Wrestling']
1960221,Female,REASCO VALDEZ Genesis Rosangela,Ecuador,['Wrestling']
1960228,Female,YEPEZ GUZMAN Lucia Yamileth,Ecuador,['Wrestling']
1960231,Male,OBERHOLZER Dallas,South Africa,['Skateboarding']
1960232,Male,VALJALO Brandon,South Africa,['Skateboarding']
1960233,Female,AWUAH Boipelo,South Africa,['Skateboarding']
1960237,Female,VALVERDE MELENDRES Luisa Elizabeth,Ecuador,['Wrestling']
1960303,Female,AL ROUMI Amal,Kuwait,['Athletics']
1960328,Male,JONES Will,Canada,['Sailing']
1960330,Female,BUGEJA Emily,Canada,['Sailing']
1960331,Female,LEWIN-LAFRANCE Antonia,Canada,['Sailing']
1960335,Male,BARNES Justin,Canada,['Sailing']
1960337,Female,LEWIN-LAFRANCE Georgia,Canada,['Sailing']
