medal_type,code,country
Bronze Medal,1912009,Great Britain
Bronze Medal,1931331,Kazakhstan
Bronze Medal,1979870,Philippines
Gold Medal,1555098,Ireland
Silver Medal,1926828,China
Bronze Medal,1898283,Thailand
Bronze Medal,1887975,Chinese Taipei
Gold Medal,1901545,China
Silver Medal,1901544,China
Bronze Medal,1980115,DPR Korea
Gold Medal,1914912,Germany
Silver Medal,1976553,Switzerland
Bronze Medal,1976879,Netherlands
Gold Medal,1946064,Australia
Silver Medal,1902075,Japan
Bronze Medal,1544123,Great Britain
Gold Medal,1571506,Cuba
Silver Medal,1935199,Chile
Bronze Medal,1544882,IR Iran
Bronze Medal,1919983,China
Gold Medal,1939713,Japan
Silver Medal,1919973,China
Bronze Medal,1566631,Kyrgyzstan
Bronze Medal,1980153,DPR Korea
Gold Medal,1955304,United States
Silver Medal,1568241,Kyrgyzstan
Bronze Medal,1570415,Türkiye
Bronze Medal,1939709,Japan
Gold Medal,1555372,Morocco
Silver Medal,1965896,United States
Bronze Medal,1910445,Kenya
Gold Medal,1960177,United States
Silver Medal,1924430,Great Britain
Bronze Medal,1937531,Zambia
Gold Medal,1912322,Jamaica
Silver Medal,1922593,Lithuania
Bronze Medal,1939824,Australia
Gold Medal,1939839,Australia
Silver Medal,1965268,United States
Bronze Medal,1974216,Canada
Bronze Medal,1895903,Germany
Bronze Medal,1879120,France
Gold Medal,1555537,Cuba
Silver Medal,1879111,France
Gold Medal,1564362,Ukraine
Silver Medal,1932824,Kazakhstan
Bronze Medal,1568204,Türkiye
Bronze Medal,1979904,Philippines
Gold Medal,1945990,Australia
Silver Medal,1905347,Cyprus
Bronze Medal,1944316,Peru
Gold Medal,1970500,Netherlands
Silver Medal,1895121,Denmark
Bronze Medal,1878602,Norway
Gold Medal,1946074,Australia
Silver Medal,1944247,United States
Bronze Medal,1955669,Brazil
Gold Medal,1563327,Poland
Silver Medal,1913702,China
Bronze Medal,1563321,Poland
Gold Medal,1904040,Korea
Silver Medal,1946883,Azerbaijan
Bronze Medal,1893274,France
Bronze Medal,1947736,Tunisia
Gold Medal,1902841,Thailand
Silver Medal,1910372,China
Bronze Medal,1536064,IR Iran
Bronze Medal,1569986,Croatia
Gold Medal,1918372,China
Silver Medal,1898059,Thailand
Bronze Medal,1917153,United States
Gold Medal,1918377,China
Silver Medal,1550148,Romania
Bronze Medal,1898024,Thailand
Gold Medal,1939692,Japan
Silver Medal,1958652,Kazakhstan
Bronze Medal,1532873,Armenia
Bronze Medal,1566627,Kyrgyzstan
Gold Medal,1544897,IR Iran
Silver Medal,1532872,Armenia
Bronze Medal,1571504,Cuba
Bronze Medal,1566601,Kyrgyzstan
Gold Medal,1955373,United States
Silver Medal,1571747,Cuba
Bronze Medal,1939712,Japan
Bronze Medal,1920000,China
Gold Medal,1960961,United States
Silver Medal,1965223,United States
Bronze Medal,1901251,Jamaica
Gold Medal,1936983,Botswana
Silver Medal,1960659,United States
Bronze Medal,1960173,United States
Gold Medal,1878563,Pakistan
Silver Medal,1550250,India
Bronze Medal,1573418,Grenada
Gold Medal,1965308,United States
Silver Medal,1960581,United States
Bronze Medal,1972078,Netherlands
Gold Medal,1960711,United States
Silver Medal,1920175,Germany
Bronze Medal,1965250,United States
Gold Medal,1556045,Uzbekistan
